기준월,행정동코드,매출금액,행정구역,총인구수,월유동인구수,년도,spatial_cluster
8,4117361000,659204,경기도 안양시 동안구 범계동,15149,2643960.2,2024,0
9,4117361000,620448,경기도 안양시 동안구 범계동,15121,2687681.2,2024,0
10,4117361000,456178,경기도 안양시 동안구 범계동,15136,2609629.5,2024,0
11,4117361000,428412,경기도 안양시 동안구 범계동,15106,2575327.0,2024,0
12,4117361000,493580,경기도 안양시 동안구 범계동,15068,2695034.5,2024,0
1,4117361000,452918,경기도 안양시 동안구 범계동,15052,2717058.2,2025,0
2,4117361000,632210,경기도 안양시 동안구 범계동,15058,2510222.5,2025,0
3,4117361000,671818,경기도 안양시 동안구 범계동,15017,2493917.2,2025,0
4,4117361000,693102,경기도 안양시 동안구 범계동,15000,2341154.8,2025,0
5,4117361000,1065934,경기도 안양시 동안구 범계동,14990,2609019.5,2025,0
6,4117361000,724528,경기도 안양시 동안구 범계동,14982,2545307.0,2025,0
7,4121055000,76745131,경기도 광명시 광명4동,8114,515871.53,2023,0
8,4121055000,9414943,경기도 광명시 광명4동,8020,474928.56,2023,0
9,4121055000,3199144,경기도 광명시 광명4동,7976,488682.5,2023,0
10,4121055000,2824615,경기도 광명시 광명4동,7825,492652.97,2023,0
11,4121055000,1953354,경기도 광명시 광명4동,7738,463347.16,2023,0
12,4121055000,1267813,경기도 광명시 광명4동,7692,482802.47,2023,0
1,4121055000,2451191,경기도 광명시 광명4동,7669,447076.88,2024,0
2,4121055000,2484429,경기도 광명시 광명4동,7654,417878.44,2024,0
3,4121055000,1586082,경기도 광명시 광명4동,7669,485073.06,2024,0
4,4121055000,3895392,경기도 광명시 광명4동,7659,529891.75,2024,0
5,4121055000,2767188,경기도 광명시 광명4동,7652,504923.12,2024,0
6,4121055000,3900675,경기도 광명시 광명4동,7641,478073.6,2024,0
7,4121055000,3826888,경기도 광명시 광명4동,7620,490466.53,2024,0
8,4121055000,3149910,경기도 광명시 광명4동,7588,475451.38,2024,0
9,4121055000,4485288,경기도 광명시 광명4동,7562,521512.8,2024,0
10,4121055000,2681593,경기도 광명시 광명4동,7534,502738.25,2024,0
11,4121055000,3620162,경기도 광명시 광명4동,7500,490596.56,2024,0
12,4121055000,2738852,경기도 광명시 광명4동,7471,498687.6,2024,0
1,4121055000,3608409,경기도 광명시 광명4동,7427,528291.7,2025,0
2,4121055000,6466538,경기도 광명시 광명4동,7397,516581.56,2025,0
3,4121055000,5084327,경기도 광명시 광명4동,7387,535669.5,2025,0
4,4121055000,3083149,경기도 광명시 광명4동,7373,504181.47,2025,0
